[file_runner.Program] [thread-1] [2022-02-12 16:30:56.494]  已接收到主进程id：7084
[file_runner.service.Server] [thread-10] [2022-02-12 16:31:22.126]  收到请求：{"reqId":1,"action":"shot","data":"{\"left\":124,\"top\":232,\"width\":2312,\"height\":1057,\"fileName\":\"0_0.jpg\"}"}
[file_runner.service.Server] [thread-10] [2022-02-12 16:31:22.275]  返回结果：{ reqId=1, succ=True, msg=, data= }
[file_runner.service.Server] [thread-10] [2022-02-12 16:31:22.281]  收到请求：{"reqId":2,"action":"shotCombine","data":"{\"itemWidth\":2312,\"itemHeight\":1057,\"resultFullPath\":\"memory\",\"lines\":[[{\"picName\":\"0_0.jpg\",\"cutLeft\":0,\"cutTop\":0}]],\"maxW\":null,\"maxH\":null}"}
[file_runner.service.Server] [thread-10] [2022-02-12 16:31:22.387]  返回结果：{ reqId=2, succ=True, msg=, data=System.Collections.Hashtable }
[file_runner.service.Server] [thread-10] [2022-02-12 16:31:22.396]  收到请求：{"reqId":3,"action":"notify","data":"{\"pic\":\"F:\\\\workspace2\\\\front\\\\gmap-ui\\\\main\\\\imgs\\\\succ.png\",\"title\":\"已生成截图\",\"body\":\"截图已保存在剪切板\"}"}
[file_runner.service.Server] [thread-10] [2022-02-12 16:31:22.397]  返回结果：{ reqId=3, succ=True, msg=, data= }
[file_runner.Program] [thread-1] [2022-02-12 16:32:08.786]  已接收到主进程id：4648
[file_runner.service.Server] [thread-10] [2022-02-12 16:32:29.224]  收到请求：{"reqId":1,"action":"shot","data":"{\"left\":0,\"top\":163,\"width\":2560,\"height\":1237,\"fileName\":\"0_0.jpg\"}"}
[file_runner.service.Server] [thread-10] [2022-02-12 16:32:29.443]  返回结果：{ reqId=1, succ=True, msg=, data= }
[file_runner.service.Server] [thread-11] [2022-02-12 16:32:29.448]  收到请求：{"reqId":2,"action":"shotCombine","data":"{\"itemWidth\":2560,\"itemHeight\":1237,\"resultFullPath\":\"memory\",\"lines\":[[{\"picName\":\"0_0.jpg\",\"cutLeft\":0,\"cutTop\":0}]],\"maxW\":1310,\"maxH\":588}"}
[file_runner.service.Server] [thread-11] [2022-02-12 16:32:29.525]  返回结果：{ reqId=2, succ=True, msg=, data=System.Collections.Hashtable }
[file_runner.service.Server] [thread-10] [2022-02-12 16:32:29.535]  收到请求：{"reqId":3,"action":"notify","data":"{\"pic\":\"F:\\\\workspace2\\\\front\\\\gmap-ui\\\\main\\\\imgs\\\\succ.png\",\"title\":\"已生成截图\",\"body\":\"截图已保存在剪切板\"}"}
[file_runner.service.Server] [thread-10] [2022-02-12 16:32:29.537]  返回结果：{ reqId=3, succ=True, msg=, data= }
[file_runner.service.Server] [thread-80] [2022-02-12 16:56:40.534]  收到请求：{"reqId":4,"action":"search","data":"{\"title\":\"\",\"cont\":\"aa\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-80] [2022-02-12 16:56:40.549]  返回结果：{ reqId=4, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-84] [2022-02-12 16:56:41.326]  收到请求：{"reqId":5,"action":"search","data":"{\"title\":\"\",\"cont\":\"a\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-84] [2022-02-12 16:56:41.351]  返回结果：{ reqId=5, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-82] [2022-02-12 16:56:43.099]  收到请求：{"reqId":6,"action":"search","data":"{\"title\":\"\",\"cont\":\"ab\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-82] [2022-02-12 16:56:43.102]  返回结果：{ reqId=6, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-85] [2022-02-12 16:56:45.862]  收到请求：{"reqId":7,"action":"search","data":"{\"title\":\"\",\"cont\":\"a\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-85] [2022-02-12 16:56:45.890]  返回结果：{ reqId=7, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-83] [2022-02-12 16:56:47.330]  收到请求：{"reqId":8,"action":"search","data":"{\"title\":\"\",\"cont\":\"aa\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-83] [2022-02-12 16:56:47.333]  返回结果：{ reqId=8, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-81] [2022-02-12 16:56:49.533]  收到请求：{"reqId":9,"action":"search","data":"{\"title\":\"\",\"cont\":\"aaaaaaaaa\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-81] [2022-02-12 16:56:49.536]  返回结果：{ reqId=9, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-82] [2022-02-12 16:56:52.290]  收到请求：{"reqId":10,"action":"search","data":"{\"title\":\"\",\"cont\":\"aa\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-82] [2022-02-12 16:56:52.292]  返回结果：{ reqId=10, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-83] [2022-02-12 16:56:54.048]  收到请求：{"reqId":11,"action":"search","data":"{\"title\":\"\",\"cont\":\"a\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-83] [2022-02-12 16:56:54.075]  返回结果：{ reqId=11, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-82] [2022-02-12 16:56:59.964]  收到请求：{"reqId":12,"action":"search","data":"{\"title\":\"\",\"cont\":\"a\",\"both\":\"b\"}"}
[file_runner.service.Server] [thread-82] [2022-02-12 16:56:59.989]  返回结果：{ reqId=12, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
[file_runner.service.Server] [thread-80] [2022-02-12 16:57:04.329]  收到请求：{"reqId":13,"action":"search","data":"{\"title\":\"\",\"cont\":\"a\",\"both\":\"\"}"}
[file_runner.service.Server] [thread-80] [2022-02-12 16:57:04.354]  返回结果：{ reqId=13, succ=True, msg=, data=System.Collections.Generic.List`1[file_runner.service.SearchHandler+SearchResultItem] }
